" ","StudentComments","Rating","totalwords","Sentiment"
"3909","he explains everything until the students get in their head and he is a very excellent teacher.","5","17","positive"
"3910","he is a good teacher.","3.25","5","neutral"
"3911","he is a good teacher.","5","5","positive"
"3912","he is a very good teacher.","5","6","positive"
"3913","with sweet and sour. rob sir is a very good, in all respect.","3.13","13","neutral"
"3914","he cant speak english well . so that we the students cant reach him wht he wanna tell us.","1.67","19","negative"
"3915","he is a good teacher.explain well.","5","6","positive"
"3916","he is my favorites teacher","4.21","5","positive"
"3917","he is sincere & responsible","5","5","positive"
"3918","i like to attend in his class always","5","8","positive"
"3919","rob, sekh abdur sir is a good teacher for aiub. i wish his success.","4","14","positive"
"3920","the teacher is so helpful & excellent for us.","3.92","9","positive"
"3921","well mannered, focused and always helping.","3.79","6","positive"
"3922","you explains everything very briefly.","3.21","5","neutral"
"3923","das harikrishna is a good teachar.please clearli your talk.","4.33","9","positive"
"3924","he is a very good teacher","4.35","6","positive"
"3925","he is hardworking teacher in this university.","4.67","7","positive"
"3926","he is the best mathmatics teacher i have ever met!!","5","10","positive"
"3927","i have no comments","4.79","4","positive"
"3928","good","4.67","1","positive"
"3929","good","5","1","positive"
"3930","great teacher","4.88","2","positive"
"3931","he is a good teacher.","4.71","5","positive"
"3932","he is a very good tutor","5","6","positive"
"3933","he is good","4.93","3","positive"
"3934","teaching mathod is good.helps every student who goes to him and stict to his basic.","4","15","positive"
"3935","good","3.7","1","positive"
"3936","he is a good teacher","3.21","5","neutral"
"3937","he is a good teacher.","4.83","5","positive"
"3938","he is an axcellent teacher.","5","5","positive"
"3939","he is an excellent teacher.","5","5","positive"
"3940","he is very old fasionable","2.75","5","negative"
"3941","i think he should be more flexible and find out what type of pro the students facing.","2.96","17","negative"
"3942","mr. abdur rob is one of the best teachers i've ever had in my life.","4.67","15","positive"
"3943","rob sir iz one of the best mathz teacherz i hav ever seen in my life.he iz simply the best.","4.83","20","positive"
"3944","good","5","1","positive"
"3945","he has a very good knowledge on math","4.54","8","positive"
"3946","he is a good teacher.he gives mark frequently.","3.13","8","neutral"
"3947","sir is the best & all policy to handal the students is very good. he is also very popular to us.","4.83","21","positive"
"3948","very very very very very good","5","6","positive"
"3949","a very nice experience being his student.","4.13","7","positive"
"3950","an eloquent teacher, with a good command on his subject matters. however, although the midterm paper he set us asked intelligent questions, they could not be properly applied to within the time constraint of 2hours, as they required too much analysis for the short period of time given us. the questions types are appreciated but then maybe if he had asked 3 instead of 4 questions, all students would have been able to finish the entire paper.","4.33","77","positive"
"3951","good","5","1","positive"
"3952","good","2.7","1","negative"
"3953","good sir","3.88","2","positive"
"3954","he is a good teacher","4.66","5","positive"
"3955","he is a good teacher.","4.63","5","positive"
"3956","he is a good teacher.","2.92","5","negative"
"3957","he is a nice faculty.","4.88","5","positive"
"3958","he is a sufficiient instrutor.","4.21","5","positive"
"3959","he is a very good teacher.","4.32","6","positive"
"3960","he is a very good teacher. his acsence is very good.","3.08","11","neutral"
"3961","he is good but some times the way he gives the lectures are not so clear for me. i don't understand everything he say.","3.5","24","positive"
"3962","he is good teacher","4.84","4","positive"
"3963","he is very good teacher. he is very friendly.","5","9","positive"
"3964","he is verymuch helpful & frankly with us.he has strong teaching power.we should get more teachers like him.","4.83","18","positive"
"3965","he makes learning new things very easy.","4.92","7","positive"
"3966","he speaks a lot on the class lecture. do not his views with us.","2.67","14","negative"
"3967","sir has a good personalaty","4.83","5","positive"
"3968","the is very good","4.92","4","positive"
"3969","we can not heard him clearly","2.92","6","negative"
"3970","i understanding him like other","2.92","5","negative"
"3971","as cs student we scared about bus.com but for our teachers help now it becomes easy and comfortable for us.","5","20","positive"
"3972","best","4.5","1","positive"
"3973","fine","5","1","positive"
"3974","good","3.52","1","positive"
"3975","good","2.7","1","negative"
"3976","good","5","1","positive"
"3977","good and helpfull teacher","4.5","4","positive"
"3978","he is a good and flxible techer","4.66","7","positive"
"3979","he is a good faculty.","4.92","5","positive"
"3980","he is a good teacher","3.75","5","positive"
"3981","he is a good teacher.","4.71","5","positive"
"3982","he is a good teacher.","5","5","positive"
"3983","he is a very good in teaching","2.63","7","negative"
"3984","he is a very good teacher.","4.83","6","positive"
"3985","he is a very good teacher.","4","6","positive"
"3986","he is good","5","3","positive"
"3987","he is good but some times the way he gives the lectures are not so clear for me. i don't understand everything he say.","3.5","24","positive"
"3988","he is very good teacher","3.67","5","positive"
"3989","he is very good teacher","5","5","positive"
"3990","he is very good teacher. he is very friendly.","5","9","positive"
"3991","he knows many things so we the students learn many things from him which will be helpful in our future life he is a good teacher","3.79","26","positive"
"3992","very good cordinator and reflects his skills by giv ing specific attentions to students","5","14","positive"
"3993","well mannered, but little bit confusing 1st time, but now he is ok for me.","3.67","15","positive"
"3994","good teacher","4.96","2","positive"
"3995","a very good teacher.","5","4","positive"
"3996","good","5","1","positive"
"3997","good but sometimes complicate the subject so much","3.33","8","neutral"
"3998","good sir","3.88","2","positive"
"3999","he encourage and help the students to goal oriented activities.","3.71","10","positive"
"4000","he follow good teaching policy.","3.33","5","neutral"
"4001","he is a good faculty.","4.92","5","positive"
"4002","he is a good sir","4.83","5","positive"
"4003","he is a good teacher.","5","5","positive"
"4004","he is a good teacher.","3.83","5","positive"
"4005","he is a good teacher. his motivation power help student to improve student's performance","4.96","14","positive"
"4006","he is a nice faculty.","4.88","5","positive"
"4007","he is a nice teacher, but dosents show details attention to the particular students behaviour.","3.46","15","neutral"
"4008","he is a very friendly teacher ever i seen to us.","4.67","11","positive"
"4009","he is a very good in teaching","2.63","7","negative"
"4010","he is a very good teacher.","4","6","positive"
"4011","he is ideal teacher","4.92","4","positive"
"4012","he is not a good teacher for bus com","1.88","9","negative"
"4013","he is very smart & good teacher.","3.58","7","positive"
"4014","he is well enough.","3.67","4","positive"
"4015","he motivates the students to perform well.","3.04","7","neutral"
"4016","his personality inspire me.","3.83","4","positive"
"4017","his teaching style is b+ catagory","3.04","6","neutral"
"4018","i really wish that all the teachers of aiub were like our faheem sir.his teaching method is superb. the management should make him the idol for allthe other teachers to follow.","5","31","positive"
"4019","i think he is very good teacher as well as very good person.he always encourages the student.","4.08","17","positive"
"4020","much good","5","2","positive"
"4021","so so","5","2","positive"
"4022","well advance teaching with proper example","5","6","positive"
"4023","i understanding him like other","2.92","5","negative"
"4024","a nice person in t the university. he is really a good reputation among the students as well whole university","3.42","20","neutral"
"4025","after all he is a good teacher","3.33","7","neutral"
"4026","good but sometimes complicate the subject so much","3.33","8","neutral"
"4027","good teacher","4","2","positive"
"4028","he encourage and help the students to goal oriented activities.","3.71","10","positive"
